exp_group,experiment,feature_set,feature_set_label,model,horizon,seg_type,segment,RMSE,MAE,sMAPE,med_node_RMSE,n_keywords
ablation_tensors,core_only,core_only,Core (CPC only),GraphWaveNet,1,tercile,Low,0.7484279569047457,0.5005373524363441,17.168406373251628,0.5391527323941536,604
ablation_tensors,core_search,core_search,Core + Search,AGCRN,1,tercile,Low,0.7667345706838894,0.520152135840186,18.10221126047008,0.5589592042128594,604
ablation_tensors,core_search,core_search,Core + Search,GraphWaveNet,1,tercile,Low,0.7429093378213059,0.49671002015833915,17.372414816029853,0.5358832885268292,604
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,AGCRN,1,tercile,Low,0.7731805953695335,0.5301548715834448,18.31519357170813,0.5647969305433451,604
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,DCRNN,1,tercile,Low,0.7451075264805017,0.5009845944284923,17.31357916615337,0.5367346342505049,604
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,GConvLSTM,1,tercile,Low,0.7537234475132782,0.51038361154085,17.861738194358896,0.5460780021106125,604
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,GraphWaveNet,1,tercile,Low,0.7507615688081424,0.5032544282717247,17.203654519203074,0.5457582907071583,604
ablation_tensors,core_sim25,core_sim25,Core + Sim25,AGCRN,1,tercile,Low,0.7690034985355524,0.523387835049499,18.27799522522361,0.5693714546853623,604
ablation_tensors,core_sim25,core_sim25,Core + Sim25,DCRNN,1,tercile,Low,0.7501266425238781,0.5099976188352223,17.69018764609242,0.5470074786910851,604
ablation_tensors,core_sim25,core_sim25,Core + Sim25,GConvLSTM,1,tercile,Low,0.7608588794254354,0.5160798443224017,18.068957063288025,0.5461026698950979,604
ablation_tensors,core_sim25,core_sim25,Core + Sim25,GraphWaveNet,1,tercile,Low,0.7571037969997206,0.5063572515531738,17.63162669834435,0.5424334882644228,604
exp1_tensors,exp1_tensors,all_features,All Features,A3TGCN,1,tercile,Medium,1.4286082851516912,0.9938779851381845,36.64521113878955,1.0398650100094955,603
exp2_tensors,exp2_tensors,all_features,All Features,A3TGCN,1,tercile,Medium,1.4514657105017301,1.0110488903928787,37.1578522048609,1.0510911276237147,603
ablation_tensors,all_features,all_features,All Features,AGCRN,1,tercile,Medium,1.108257545441015,0.7357688878153607,27.682869589993004,0.7981289834161226,603
exp1_tensors,exp1_tensors,all_features,All Features,AGCRN,1,tercile,Medium,1.0980708015712448,0.7382260357062965,27.694561567266344,0.7932955832871404,603
exp2_tensors,exp2_tensors,all_features,All Features,AGCRN,1,tercile,Medium,1.1004436723810638,0.7308850164627042,27.248770179684772,0.7710667018762665,603
ablation_tensors,all_features,all_features,All Features,DCRNN,1,tercile,Medium,1.056754604203189,0.6986597785079232,25.701949807895357,0.7190201241357868,603
exp1_tensors,exp1_tensors,all_features,All Features,DCRNN,1,tercile,Medium,1.0763059921228695,0.7218516280882697,26.147415171980253,0.7787833898423094,603
exp2_tensors,exp2_tensors,all_features,All Features,DCRNN,1,tercile,Medium,1.0535018000719156,0.6952090613271243,25.596813533166017,0.7262918684432189,603
ablation_tensors,all_features,all_features,All Features,GConvLSTM,1,tercile,Medium,1.1642110140538426,0.7847686847383214,28.60926799821682,0.8639773614099785,603
exp1_tensors,exp1_tensors,all_features,All Features,GConvLSTM,1,tercile,Medium,1.0934399070629728,0.7262196591274835,26.70073748644431,0.7821338479625867,603
exp2_tensors,exp2_tensors,all_features,All Features,GConvLSTM,1,tercile,Medium,1.106806769558359,0.7379403505150627,26.85355691520797,0.7841943735783723,603
ablation_tensors,all_features,all_features,All Features,GraphWaveNet,1,tercile,Medium,1.1069364603862304,0.7413886482319808,26.791268185476447,0.7980110341674126,603
exp1_tensors,exp1_tensors,all_features,All Features,GraphWaveNet,1,tercile,Medium,1.1044161757095405,0.7425329802979027,26.80036409817172,0.8011749263664751,603
exp2_tensors,exp2_tensors,all_features,All Features,GraphWaveNet,1,tercile,Medium,1.0739964325862643,0.7059951276676479,26.05526070934535,0.7442928011298013,603
exp2_tensors,exp2_tensors,all_features,All Features,MTGNN,1,tercile,Medium,1.1674830662947357,0.8122967796111543,29.526836224328022,0.88807912353121,603
exp1_tensors,exp1_tensors,all_features,All Features,STConv,1,tercile,Medium,1.1676092461707672,0.7906933314515546,29.277024527264896,0.8527439180146025,603
exp2_tensors,exp2_tensors,all_features,All Features,STConv,1,tercile,Medium,1.1949676739311244,0.7962702954665694,28.808931270674037,0.8253515064157685,603
exp1_tensors,exp1_tensors,all_features,All Features,STGCN,1,tercile,Medium,1.124641159851237,0.7548345134944536,27.507488497677585,0.7836560729946539,603
exp2_tensors,exp2_tensors,all_features,All Features,STGCN,1,tercile,Medium,1.12589153232198,0.7504491143448941,27.65206130546257,0.7675941333460502,603
exp3_tensors,core_city,core_city,Core + City,AGCRN,1,tercile,Medium,1.101581008596013,0.7391897328602826,27.093938710325432,0.7872498935190816,603
exp3_tensors,core_city,core_city,Core + City,DCRNN,1,tercile,Medium,1.074714319942348,0.7067589323401623,25.94277369053262,0.7604601799135482,603
exp3_tensors,core_continent,core_continent,Core + Continent,AGCRN,1,tercile,Medium,1.0863986976299835,0.7202248382866558,26.48761395388916,0.7535211236941269,603
exp3_tensors,core_continent,core_continent,Core + Continent,DCRNN,1,tercile,Medium,1.059065000476339,0.6868779730612362,25.375478126047117,0.7103074801558902,603
exp3_tensors,core_continent,core_continent,Core + Continent,GConvLSTM,1,tercile,Medium,1.0738171761847901,0.6989429322429166,25.886482131832807,0.7189731763642762,603
