exp_group,experiment,feature_set,feature_set_label,model,RMSE_h1,RMSE_h6,RMSE_h12,MAE_h1,MAE_h6,MAE_h12,sMAPE_h1,sMAPE_h6,sMAPE_h12,med_node_RMSE_h1,med_node_RMSE_h6,med_node_RMSE_h12,n_keywords_h1,n_keywords_h6,n_keywords_h12
ablation_tensors,core_only,core_only,Core (CPC only),DCRNN,1.188507739059346,1.401643962076573,1.6073824179605303,0.6995173680086262,0.8470005533917415,1.053826016924002,26.093200005598554,31.901669799119993,38.523164458774495,0.6862540535951096,0.7410496532028874,0.6855950886109703,1811.0,1811.0,1811.0
ablation_tensors,core_only,core_only,Core (CPC only),GConvLSTM,,1.4678388903433206,1.6439957432700734,,0.8712743138127756,1.0517811134029593,,32.10761629975881,38.320092474848586,,0.768536460323986,0.6900890807672159,,1811.0,1811.0
ablation_tensors,core_only,core_only,Core (CPC only),GraphWaveNet,1.1815623441215082,1.4192675886205461,1.656655534317734,0.6947601616940646,0.8299499634249469,1.0492218473592025,25.82884326438452,30.822345223302918,38.40437974510867,0.6923295818424037,0.7239295757159098,0.648123502622804,1811.0,1811.0,1811.0
ablation_tensors,core_search,core_search,Core + Search,AGCRN,1.2173082019740487,1.4067266933584541,1.5853342345944,0.720333264566351,0.8473963747495983,1.0631185657926505,26.805887531819355,31.462692920610174,38.71068772932893,0.712720423052172,0.754342338830259,0.6950366010804774,1811.0,1811.0,1811.0
ablation_tensors,core_search,core_search,Core + Search,DCRNN,,1.386955662948615,1.628225419549837,,0.8501392670760718,1.0724398304542204,,31.764393660726707,38.920009391478274,,0.7686135958142976,0.699973899095828,,1811.0,1811.0
ablation_tensors,core_search,core_search,Core + Search,GConvLSTM,,1.4269499839692437,1.6737511561746157,,0.8588701280884063,1.0628084034792766,,31.78377591539884,38.61579121407343,,0.7632373582237876,0.6594548851186561,,1811.0,1811.0
ablation_tensors,core_search,core_search,Core + Search,GraphWaveNet,1.1752661859167985,1.4011677570170715,1.6801732279057489,0.6882122997696781,0.8317418969743159,1.0657562898892892,25.72118508304878,31.045383644817754,38.985535997805535,0.6833995297161369,0.7229139303975106,0.6726504953793003,1811.0,1811.0,1811.0
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,AGCRN,1.2132230090898697,,1.583881460135575,0.7285259131462772,,1.0536093437517329,26.947863698888824,,38.31494889552778,0.7158444996802802,,0.6911985162323768,1811.0,,1811.0
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,DCRNN,1.183090833714923,1.3779121739581657,1.6092633307600763,0.6985639415507197,0.8366239821297037,1.049322474853552,26.031255777495204,31.188177293129222,38.52375339790078,0.6820645481015923,0.7503894911803073,0.7056014416673229,1811.0,1811.0,1811.0
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,GConvLSTM,1.220372623650069,1.4344042269464565,1.682245172079818,0.7090941360766633,0.8672971887754013,1.0828568416859021,26.54905029833407,31.968320142062943,39.588304513318604,0.6856611999954173,0.7918696141904745,0.7397487898031159,1811.0,1811.0,1811.0
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,GraphWaveNet,1.181403571980361,,1.6659253552368527,0.6957718666643299,,1.063694225826957,25.8259358906657,,38.82895812280685,0.6889948211123933,,0.6659768640321602,1811.0,,1811.0
ablation_tensors,core_sim25,core_sim25,Core + Sim25,AGCRN,1.2290589765005697,1.3646481032125148,1.6264277983782636,0.721671951274264,0.8324453367216136,1.0607860840000114,26.93639891272021,31.187593960632565,38.411942520820936,0.704843382383755,0.7626246164486796,0.704595184752352,1811.0,1811.0,1811.0
ablation_tensors,core_sim25,core_sim25,Core + Sim25,DCRNN,1.185532229311769,1.4073217138418836,1.619382909662781,0.6997783182230359,0.8432627530178755,1.0856319879391936,26.11869706019699,31.133743487824617,39.21692319583814,0.6860768739542045,0.7462405347209707,0.7222215698928309,1811.0,1811.0,1811.0
ablation_tensors,core_sim25,core_sim25,Core + Sim25,GConvLSTM,1.2141844997664528,1.413417418476912,1.5944815632692935,0.7083822169498736,0.8517901334670027,1.0367746298572311,26.54585938581152,31.551682053133483,38.00001094729545,0.6855179601455101,0.7747048322741662,0.6709621201222853,1811.0,1811.0,1811.0
ablation_tensors,core_sim25,core_sim25,Core + Sim25,GraphWaveNet,1.2084646669075436,1.452308375431675,1.6583131407835006,0.7088706431856321,0.8491840040202098,1.0479099113574337,26.54265147375635,31.176474832997698,38.235856835217916,0.6933468551014057,0.7388333455081743,0.6503994260694965,1811.0,1811.0,1811.0
